"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
2004,"Women","France","FRA",0.049539437866859944,0.04065162201298609,0.05976798237664452,0.13127269961461416,0.11861186188120501,0.1448201562975333,0.10305001688252031,0.09142092872168588,0.11588604157962543,0.4835278019631325,0.46356369221546906,0.5037422965637502,0.23261004167287302,0.21567752050632513,0.2496784337759349,0.08934733546140444,0.07780636559628754,0.1015989224128514,0.030507752021785513,0.025161035024917077,0.03644991166194379,0.011417612131424209,0.008408386003928585,0.014921349161394292
2005,"Women","France","FRA",0.04918490763307951,0.04065317300153255,0.05888819154681704,0.13258491970482164,0.12053212999372771,0.1454116402326849,0.10275957844694911,0.09170077084693562,0.11480327558216441,0.482916771107751,0.46397175900847076,0.5019849867549271,0.23255382110739872,0.21642461114208403,0.24886984747409685,0.09017067560172802,0.07906097524203567,0.1019434448444939,0.030722306329670636,0.025526709461236953,0.036501302209199435,0.011691937773422988,0.008731222590448152,0.015093900356180244
2006,"Women","France","FRA",0.048820854072185844,0.040680247742579174,0.057994632138729435,0.13373915109085083,0.12226059100738454,0.14590756466281662,0.10247992489629758,0.09193719672950279,0.11387148049939669,0.4825339502524885,0.46444759793906276,0.500662512696431,0.23242611768817725,0.21699641649000484,0.24796628101651444,0.0908945682409005,0.08030649121535954,0.10233549858005367,0.030903862233781842,0.025861585108759834,0.03653644961918005,0.011940720616168491,0.008994852908197189,0.015388718025230572
2007,"Women","France","FRA",0.048453479341369655,0.04071326125581394,0.05705855467798061,0.1347119318530381,0.12359760204952931,0.14666021127702925,0.10219966992387698,0.09210574415835689,0.11294291020713504,0.4823992479654311,0.4651754017162151,0.4994958684578259,0.2322356689162842,0.2177163476651905,0.24728515354070235,0.0915135215194077,0.08136011338493283,0.1024211280795186,0.031043025777522465,0.026201609504707683,0.036429904018839825,0.01215538455610792,0.009317677947402939,0.015501093549847467
2008,"Women","France","FRA",0.04811074703977826,0.040764737750157556,0.05620962122951505,0.13542116643312582,0.12483049339127614,0.14672520614663404,0.1019933844588764,0.09248486578863148,0.1121310624491973,0.48245128609293525,0.46558766206864705,0.49865349148196686,0.23202341397528425,0.2182828897396763,0.2463466088541965,0.09196437029354752,0.08220763786222599,0.10253598178754496,0.031122165949313482,0.026477093142900417,0.036338825351664765,0.012334630190264817,0.00958628985840843,0.01555195078344086
2009,"Women","France","FRA",0.047826201946572035,0.040790159026925996,0.055459164334939956,0.13582258168203643,0.12551633574631244,0.1465986481703595,0.1018883648755864,0.09286579682547376,0.1113501953644232,0.4826970109874486,0.4668019139043449,0.49835171559338426,0.23176583850835653,0.21875556502092997,0.24540763319952777,0.092218827787177493,0.08283075281529342,0.10214206159827413,0.031130780309331432,0.026694863638966445,0.036109859651188805,0.012472973585527512,0.009809662333488825,0.015602306262442786
2010,"Women","France","FRA",0.04760290371373579,0.04103077092420988,0.05480838634375582,0.13591995472625784,0.1260396400352181,0.14609188838332757,0.10190672072153513,0.09346263560780982,0.11093402208607415,0.48311874181850856,0.46795438704038234,0.4978488283030863,0.2314516770199627,0.2191139326411666,0.24425444023627885,0.09228461742647066,0.08323068784136972,0.10161245262355506,0.031064822566282336,0.02676525649368577,0.03585842222233195,0.012570514733504843,0.009999261013355356,0.015509872642758741
2011,"Women","France","FRA",0.04745686625530983,0.041233679315330465,0.054304469409119094,0.13572847745076272,0.12620045375265307,0.14538192457265228,0.10202966405475426,0.09407312359247473,0.11064440599467755,0.4836632515814571,0.4696433286593077,0.4974039538104214,0.23112173865771612,0.21935124580668258,0.24338231880402056,0.09216723317990219,0.08360034193352185,0.10106223610163145,0.030934375858499355,0.026800534110312378,0.035509831312153586,0.012626868412361164,0.010141652358844873,0.015403715493346378
2012,"Women","France","FRA",0.047398021218054406,0.04135879584938813,0.053985307406344225,0.13530092590710258,0.1262470642022324,0.14456603604301127,0.10224934811135601,0.09457548478825367,0.11040470599728475,0.48425247947636085,0.47102430177063453,0.49725315926593877,0.23079922328712615,0.21956073848785462,0.2424734116814298,0.09190071340125011,0.08399413015003217,0.10021802330934725,0.03075063099743431,0.026826898417339255,0.03500037478219103,0.012649581508418144,0.010269994011863091,0.015353828061471099
2013,"Women","France","FRA",0.0474136893925126,0.0415759498097189,0.05380585755487378,0.13469233965698205,0.12598235507466216,0.14357060703757096,0.10253842916364948,0.09514504838135003,0.11025688872151998,0.4848428625642821,0.47208180807137334,0.4974740663397296,0.2305126772225738,0.21949958620492688,0.24185673442446848,0.09151460172895678,0.08396834534732765,0.09953889894615323,0.030531521406045405,0.02675087349143066,0.03474018785468269,0.012646216521979843,0.010329511800031967,0.015296986798978174
2014,"Women","France","FRA",0.047512235820639494,0.04164303475347947,0.05380364183256385,0.1339047127121057,0.12546631899214133,0.14259230556312577,0.1028990558579172,0.09563033268056544,0.11030785473890896,0.48543838599281486,0.4729371631155753,0.4977831565784163,0.2302456076165228,0.2191866559945961,0.24134483620976901,0.09100322495941503,0.0835457120017739,0.09879430757465515,0.030282246456811497,0.026632106648833632,0.03425165151501684,0.012619241295879165,0.010352844473354838,0.015284511653857245
2015,"Women","France","FRA",0.04770018133183232,0.041699442455805286,0.054224911402869405,0.13294314122053077,0.1244371071113477,0.14138070218883422,0.10335570749053052,0.09603076893032819,0.1108115514647533,0.4860300173735326,0.4734413725590553,0.4985737400395242,0.22997095058357375,0.2188154792614856,0.24127213752567717,0.0903597498850489,0.08294363023116352,0.09809073801535836,0.03000612523289032,0.026331696931801585,0.03396497252489609,0.012577266102591569,0.010314458061378783,0.015215016168697438
2016,"Women","France","FRA",0.04796823716948255,0.041759075574775734,0.05472767514580443,0.1318041532000939,0.12298153528534811,0.14070301424359297,0.10392374320485087,0.09619753651893216,0.11178765307018694,0.48663233312403137,0.47334380670317133,0.5000488739973645,0.2296715313015413,0.21784701260451286,0.24157834557673596,0.08957282974500261,0.08200111715932179,0.09763194047359802,0.02970239999965591,0.025891544328375975,0.0337865371413458,0.012528923455435388,0.010129850389768814,0.015258940368909589
2017,"Women","France","FRA",0.0483042676695928,0.04159674393111082,0.05557612812912385,0.13045551893980717,0.12100971644136713,0.14013503118356274,0.10458871985877788,0.09623308079216995,0.11298417573113373,0.48730214203088723,0.4729509631721781,0.5015935201523977,0.2293493495009349,0.2166570065944226,0.24246548573009188,0.0886122963469039,0.08040209292282066,0.09729150415654622,0.029371787740639487,0.025314742778248685,0.033786516464039774,0.012471434852263768,0.009922212320793104,0.015434838442150944
2018,"Women","France","FRA",0.04869543289788787,0.041375449048025315,0.05693592461881947,0.12894505088822886,0.11843050474366212,0.13963001646313133,0.10535726679650276,0.09606427104310136,0.11493919712286192,0.4880421134916599,0.4719461784037394,0.5037447015914184,0.22896013392572065,0.21498579382323105,0.24356740358270923,0.08751419165606532,0.07824793694440381,0.09737305696939418,0.02902214713545854,0.024569217459751796,0.03388824421692789,0.012408712096705011,0.00962251705693285,0.01564306331507944
2019,"Women","France","FRA",0.0491272324842416,0.04098889753968054,0.058569007142715214,0.1273457798581282,0.1154100886899062,0.1395148909696822,0.10619150493962955,0.0955311373154634,0.11743456554391093,0.4888213754950657,0.4704368741891413,0.5070725781592117,0.22851410522293483,0.21248371770015356,0.2451342997223392,0.0863402669541307,0.07588830044667891,0.0976802058397954,0.028660378070074835,0.02379933473665675,0.03407537674935455,0.012345134833922671,0.009226332694137994,0.015968376735412303
2020,"Women","France","FRA",0.04958709950685285,0.04025639020846797,0.06064882640301554,0.12572526166284875,0.11206257768723567,0.13962973299411952,0.10705552146007495,0.0947736571023359,0.12010978919380039,0.48958976587089365,0.46823776526740063,0.5107198810532907,0.22804234949932975,0.20958505696718943,0.24702550229246645,0.08513910408049229,0.0730254966735615,0.0983594839219235,0.02829546988446445,0.022898617052224526,0.034454197731273103,0.012290687697892023,0.008818740391093384,0.016482425268753837
2021,"Women","France","FRA",0.05007733369880478,0.039583396111919404,0.06265099658180326,0.12410302571775421,0.10841237514158236,0.14034263131479507,0.10794731505215265,0.09371931506767804,0.12332433064570542,0.49034196289335796,0.4659764877248599,0.5145666278800205,0.2275303606379304,0.20604270152691495,0.2493776641712369,0.08392467876148273,0.06997003383223709,0.09923604785862705,0.027932488026539404,0.02181544484574337,0.03494356953515523,0.012245858929732116,0.008356173435695556,0.017000984966777807
2022,"Women","France","FRA",0.05059624865923171,0.03856571662867644,0.06492608282696595,0.12249838538453214,0.10464050946644714,0.14124842458468598,0.10888213555277351,0.09260280659923291,0.127387913088014,0.49103441560776995,0.46275955978249445,0.5188729292403645,0.22698881279569266,0.20226814945285568,0.2520140894853701,0.08271357996496015,0.06690595038753142,0.10020984569524971,0.027571694476013195,0.02063045381817561,0.03547756989941617,0.012213110943558819,0.00785439264510346,0.017744245975505793
2023,"Women","France","FRA",0.05113745743234805,0.03751376486196391,0.06779326720899896,0.12092237797015205,0.10066909691387416,0.1423904584346821,0.10983878630411298,0.09094103499586755,0.13111757563387044,0.49167004487110405,0.4592278730968349,0.5235310631608188,0.22643133142228286,0.19821118363988144,0.254722404511721,0.0815095592844389,0.06362550502456492,0.10133727888666912,0.027219870337184603,0.019469256287175024,0.03635229122503984,0.01219294834852855,0.007360535764631494,0.01840964770555043
2024,"Women","France","FRA",0.05170335378448465,0.03634439295086435,0.07077507476774933,0.11941296381842062,0.09668749324485158,0.14362151813496152,0.11080769652714176,0.08929315679421172,0.1356944065967227,0.4922211849915883,0.4552750747685918,0.528470322306675,0.2258547988783647,0.1943237318605766,0.25826243556589384,0.08033885006939175,0.0602935721117564,0.10261135364059436,0.026884477378932438,0.018215182377043594,0.03726710584069411,0.012189636370096422,0.006830720873467478,0.01933987182281668
1980,"Men","France","FRA",0.018820294977969085,0.007115268615916043,0.03811922077548367,0.09138663696479832,0.058953955339527526,0.13136763894840497,0.04923559734901191,0.027322616716646,0.07738463662639034,0.4511466181235217,0.3830992410940879,0.5206240204597153,0.38941085058469904,0.32266216796822533,0.459846439569478,0.07993344685335524,0.04869292570059788,0.11906136971124068,0.010620588105294123,0.0040419003019232175,0.022271018311002543,8.326020061489508e-4,1.8484226649179088e-4,0.0023858551880991292
1981,"Men","France","FRA",0.018447748019103757,0.007561379814008474,0.03590398390990965,0.0915620268353075,0.061324028427702654,0.12795379240467866,0.04901938463921495,0.02846796243124775,0.07495520332469482,0.45212809579785984,0.38894125791951145,0.5159556468443206,0.388842742708514,0.32749446521650777,0.4531911331820908,0.08011967001581866,0.05111065507289262,0.11570833476781966,0.010570720753812168,0.004440464397472564,0.021120573834553024,8.716360656766603e-4,2.2683423698926605e-4,0.00231648626472534
1982,"Men","France","FRA",0.0181095363280947,0.007842428230235836,0.03397310885205715,0.09178008163240634,0.0636829107753414,0.12500024317769165,0.048816640655875106,0.02947443674930387,0.07279671513816374,0.45302958529709886,0.3950916684231315,0.5118539177586966,0.38826415408652504,0.3311596382274454,0.44775608062344946,0.08032023502457258,0.053267420274977544,0.1125383298623311,0.010542075382532228,0.00484498576198018,0.01979318445462229,9.177712253015198e-4,2.7737435896694915e-4,0.0022445597015751852
1983,"Men","France","FRA",0.017805009787441938,0.008259680031331611,0.03238598887799663,0.09205317320883367,0.06605952002729583,0.12240225298682816,0.04863370819796676,0.030527171780786847,0.07064329303435901,0.4538178508138649,0.40124733595617706,0.5074479946848746,0.3876902559918928,0.335187364071645,0.44174808680169986,0.0805473482378063,0.055315700189633665,0.11029872217295665,0.010535065006371523,0.005264133998925497,0.018600986811876424,9.707599646558534e-4,3.3452295277854537e-4,0.0021880363083116184
1984,"Men","France","FRA",0.01753299334977343,0.008636401485640169,0.030726416332355223,0.09236793982192339,0.06829876671475504,0.12028664569076962,0.04847020447717732,0.031513644147536914,0.0683596791693083,0.45444584916551295,0.40609875463204564,0.5035573594310542,0.38718301118561294,0.3390727309859651,0.43679378408068337,0.0807921496895631,0.05727578268762843,0.1078067771343755,0.010544577067275431,0.005632074611872571,0.0178498453617546,0.0010312130650848518,3.95843920491177e-4,0.0022055495944975734
1985,"Men","France","FRA",0.01729022420769615,0.009029654187897751,0.029426884037533744,0.09269769192392464,0.07013478014730734,0.11811220677711413,0.0483217272670277,0.03230240604366944,0.06668740218166593,0.4549462272456729,0.41069497588845716,0.499772162255737,0.38674412735567854,0.3429425642874987,0.4317599444558304,0.08103512397009088,0.059044187879201175,0.1061851781097665,0.010562797566369185,0.006034968700090464,0.01721568906205186,0.0010997703874645608,4.6280412840188795e-4,0.0022203043305067506
1986,"Men","France","FRA",0.017078925218405958,0.009300150566562049,0.028242203859699132,0.0930471636405688,0.07201356549632759,0.11653892407249856,0.048202257081984466,0.033123657782146626,0.06546515976440054,0.45532653944808194,0.41457115380647297,0.49668671584964125,0.38634511261095883,0.34562689145278064,0.42707541304749724,0.08128281474309695,0.061060541151904006,0.1043710774296854,0.010587514013339506,0.0064126193492541565,0.016660446618272737,0.0011768348841323325,5.383233997315196e-4,0.0022496614662656307
1987,"Men","France","FRA",0.016898862892350264,0.009588835355331752,0.02728478636454286,0.09344243828534284,0.07414286980827127,0.11534126868138878,0.048104046368013506,0.0339035349295571,0.064151030304427,0.4555774725903355,0.41799489271825263,0.4935482050744133,0.3859771778639579,0.34833833328809116,0.42319975809591176,0.0815607041814484,0.06281455567390379,0.10284450186467593,0.010617258101744275,0.006701371955703989,0.01614357707728212,0.00126447600215015,6.093059372713073e-4,0.0023475283671326843
1988,"Men","France","FRA",0.01673229807568035,0.009767825064361153,0.026271162485628708,0.0939378647573061,0.07581849410271362,0.11412740748887991,0.04801528918315766,0.0344570949617092,0.06319495992471488,0.45565508466989596,0.4206991750304432,0.490899878841129,0.3856594613139599,0.35051490988187145,0.42053949036361493,0.08191466099031404,0.0643206988968586,0.10186091419740274,0.010658787943714935,0.00693026083270736,0.015713840469641215,0.0013644158232771308,6.917509404856626e-4,0.0024478934930532294
1989,"Men","France","FRA",0.01658384730568733,0.009956085968910101,0.02543561182647774,0.09457264743391552,0.07751496849484103,0.113543840794236,0.047940335946092066,0.034941550377199246,0.06253210855729242,0.455526088299308,0.4224141266658681,0.4881517666977815,0.385377079014997,0.35253431912870203,0.4182210947566974,0.08237448277926514,0.0656848177287199,0.10109116464672047,0.010720274472641754,0.0071372040094223954,0.015399671437362681,0.0014778901820086292,7.837946900271765e-4,0.002557209438785199
1990,"Men","France","FRA",0.016461687290174023,0.010093048416897144,0.02489379597050902,0.09534921235817367,0.07889995965710497,0.11332708272491071,0.04789293829369984,0.03554250596238924,0.061667611281604515,0.4552665434537363,0.4242367273250192,0.486009288721734,0.38502961660421614,0.3541720456723628,0.4163424127494541,0.08294398336138173,0.06694270739771019,0.10089069325634814,0.010800352582182397,0.007339074808895232,0.015273013252071494,0.001604876414609559,8.749957814772065e-4,0.002735199851622062
1991,"Men","France","FRA",0.016358327282566667,0.010273682728567345,0.024417990780858035,0.09632335600128991,0.08034542184136828,0.11373637035226318,0.04786293683952021,0.03607827781277346,0.060705544214237156,0.45489713406435983,0.42504518980423656,0.4847707300470752,0.38455824381226333,0.3551934838589339,0.41440460177838095,0.08365360661462264,0.06837344106969617,0.10071922414756519,0.01092271501322547,0.007518024752548378,0.01519831230014419,0.0017470343734417965,9.686983920488696e-4,0.002934209830303863
1992,"Men","France","FRA",0.016268020216550483,0.01044172006527628,0.02407773998756981,0.09751347430158659,0.08201212361103524,0.11444117547375111,0.047843074132408764,0.036549696326210294,0.06010949181352791,0.45443161970104806,0.4260180107262079,0.48337332362870744,0.38394380964840613,0.3559441634327316,0.4128625640320081,0.08450260470041435,0.06984614515270479,0.10113520758771,0.011105695370030146,0.007738563240153097,0.015306993234578063,0.0019051742311421054,0.0010707326336500443,0.0031444863410022904
1993,"Men","France","FRA",0.016182052439555106,0.010512911631622122,0.02369442588063786,0.09895958750845707,0.08394731620957757,0.11531579730555762,0.04783361322156122,0.03698109107013141,0.059465627975967966,0.45378942390974586,0.42618189120730876,0.4814123387825069,0.3832353209206808,0.3560998982784519,0.4110469526044216,0.08549753018892021,0.0712882594044686,0.10164999772601581,0.011380400111464779,0.00800584986358591,0.015627516984238667,0.0020816572080720776,0.0011750969172612486,0.0033837839903237913
1994,"Men","France","FRA",0.016096559433778135,0.01059166977525638,0.023454190628912287,0.10069215006324311,0.0861133698313981,0.11689059272167263,0.047806426976346315,0.037234225631621265,0.059122102217037925,0.45298187175614435,0.42653872942878285,0.4794356132212341,0.38242298977048805,0.3562491029331562,0.40922982084642456,0.08665075572657485,0.07253285031873874,0.10264899562665057,0.011766141530590907,0.008382819416302062,0.01601012088002068,0.0022752528060773483,0.0013122328488821896,0.0036493422089416256
1995,"Men","France","FRA",0.016002588411703163,0.010648363644809984,0.023078272866568352,0.10267863113045571,0.0880885537941047,0.11870314214014349,0.04774064875850487,0.03747840246294902,0.05866194621102241,0.4520442708607155,0.4262768340946364,0.47789531215217673,0.38153385883862073,0.3559957031446816,0.4076887709747967,0.08792181688779746,0.07409764842536608,0.10363013422616393,0.012268279796727753,0.008821168213087888,0.016510303565187685,0.002488534445930499,0.0014503744483097777,0.003954273163538558
1996,"Men","France","FRA",0.01589795995614382,0.010650522843527245,0.022712735074074956,0.10488803838574609,0.09049053779744344,0.12061222687193238,0.04761142275449937,0.03764921120712656,0.05843294434070435,0.45096411805036923,0.4257461630844103,0.4765394289355255,0.38063845885324143,0.35597481814407994,0.40597505495255765,0.08928765745424634,0.07541399621572754,0.10483810037445161,0.012876262870005477,0.009333638148566581,0.01715869090642378,0.002724118061494284,0.0016089669189268464,0.004320199499833031
1997,"Men","France","FRA",0.015791715055630144,0.010694204008076257,0.02239457634618448,0.10722527702346821,0.09286783869574142,0.1228233888211182,0.04743546989721457,0.037808291615749647,0.05787964678644595,0.4497959772016167,0.4249297976860892,0.47459716343660047,0.3797515588220704,0.3552331436737375,0.4046147175835072,0.09069577677085833,0.07686280843297416,0.10576142353762381,0.013553512675479546,0.009847628000077227,0.017946916196393332,0.0029759875771302995,0.0017657418853851315,0.004642252423669206
1998,"Men","France","FRA",0.01568730237063086,0.010648754676057172,0.021978229288475405,0.1096601821104185,0.09527636585778165,0.12510489417930046,0.047206050059240307,0.03791863538846679,0.057363714551817255,0.4485265661361243,0.4241567860868109,0.47289609795330423,0.37891989732358594,0.35490999810989754,0.40294973139614354,0.09214739331305484,0.07819283835356773,0.10694303939728173,0.014267912604346506,0.010408576892183446,0.018788906824466618,0.003244876193017154,0.0019351589500875002,0.005021323540603668
