"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
2003,"Women","Canada","CAN",0.026392847699608087,0.02148496554842522,0.0320018784246799,0.21796098432336797,0.20283513830185215,0.23386125604706326,0.06091750705415255,0.05370611711660893,0.06874861073322763,0.40495481094934577,0.38671840863865997,0.422865647730956,0.2897738479735256,0.27328532059306376,0.30742035261872136,0.13478483779319547,0.12121953305103116,0.14929627694890465,0.053377982939933816,0.0455447652863872,0.06169620917397638,0.029798163590238676,0.02374317290459794,0.03669725636406154
2004,"Women","Canada","CAN",0.026276052788694222,0.02148017158588076,0.031719586526891476,0.22187457668451696,0.2072688607187601,0.2374105452650461,0.06046682267646934,0.05348294551117453,0.06801206221280953,0.4014063144628209,0.38391811011325044,0.4188334870610207,0.2899762313874986,0.27406752319248173,0.30712978472860336,0.1359480099885031,0.12274946606783049,0.14978851588747896,0.054858205728244916,0.04715458393692613,0.06305169389859819,0.031068360967768972,0.02493532775619793,0.03804033799519189
2005,"Women","Canada","CAN",0.02620962660921526,0.021549545434209155,0.03141322987619115,0.225465694686772,0.21112284602036147,0.2405668073554236,0.06012405246854828,0.05341275569821582,0.06759198221496837,0.39818198920345227,0.3814146191021346,0.4151463501024174,0.29001863503201225,0.27435142059849493,0.30641008270581094,0.13685229922781392,0.12427697618620488,0.15027908077114774,0.05627645337028628,0.048590793151087705,0.06433744389387769,0.03233694208867179,0.02615235745481416,0.03917340258632844
2006,"Women","Canada","CAN",0.026194740104013126,0.021689503338928315,0.031124612331436333,0.2287618688896487,0.21459295566856407,0.24329954376729573,0.059898125633524965,0.05339362233148972,0.06707767792815193,0.39519990224726953,0.37909420268865895,0.411528649656955,0.28994536112554364,0.27500294977793405,0.3055780140869573,0.13751712940698985,0.12533044318287898,0.15031751027090598,0.05763742614707716,0.050024742708261,0.06558955770998398,0.03360731333558169,0.027363952547487035,0.040477277551831975
2007,"Women","Canada","CAN",0.026223011611324634,0.021803093824042327,0.031087438593509546,0.23178994502354033,0.2179538133847835,0.24605155560681474,0.059780475566190955,0.05355170217668781,0.06660038799195839,0.39239875699057,0.37690226684599504,0.40790998568042297,0.2898078088083741,0.2752924256267742,0.30462961412733375,0.13799416733170947,0.126347364164125,0.15021613744206308,0.05893123891512961,0.05145607079508461,0.06664222890292015,0.03486453877670127,0.02857470096449077,0.04175051091665518
2008,"Women","Canada","CAN",0.026295812698747784,0.022021765982826333,0.031080776669416162,0.23455224009880066,0.22111916448876864,0.2485828110800693,0.05978843081539656,0.05372044379521055,0.06634006338971357,0.3897149313364586,0.37449465230136747,0.40441808639137217,0.28964858305059626,0.2754812746219732,0.30376689808539925,0.1382715994259996,0.12705503922455885,0.1500406322649662,0.06017599523675006,0.05279596610455476,0.0677686105937531,0.036104645436051006,0.029785072632285435,0.043027887333286295
2009,"Women","Canada","CAN",0.026423873766731606,0.022227762418119915,0.031137097862172638,0.2369911089570313,0.2235997297920755,0.2509983382329739,0.05995358807178465,0.05387504631081306,0.06631698647898741,0.38716694783960537,0.3725402270251188,0.40136093534058076,0.2894644793648471,0.275527470588058,0.3032231448048817,0.1383406501099237,0.1275900944311695,0.1496750061752071,0.06133709665273381,0.053981462049823105,0.06890303346397476,0.03731336219437379,0.031115245713491176,0.04423925767964079
2010,"Women","Canada","CAN",0.02659424054624724,0.02242003910940414,0.031352438004896815,0.2390680188723094,0.22598850391719597,0.25283293393804973,0.060289446279842444,0.05422005159283069,0.06657154961054267,0.3847375155070528,0.37047280376683855,0.398766775199468,0.28931077679454803,0.2755250931868447,0.302962723063307,0.13817643041537975,0.12741686826745255,0.14929753027583223,0.0624316084254078,0.05513422532530027,0.07002024005483348,0.03845998003152187,0.032194713125334805,0.045347648149820056
2011,"Women","Canada","CAN",0.02679585080420922,0.02262543043250038,0.031481581956621534,0.24078115065970182,0.22763020514815654,0.25470384835170923,0.060769340523982966,0.0547986238006336,0.06710249886384187,0.3824130547243761,0.3680627105034471,0.3968211995682164,0.28924060128772994,0.2753579712664136,0.3026501713225241,0.13778752847764686,0.12731545181060386,0.1489521660167068,0.06346558852078847,0.05619767686137643,0.0710848194929045,0.03952803366126648,0.033166564823648284,0.0465106235239679
2012,"Women","Canada","CAN",0.027023974705766066,0.022746576788179432,0.03172520276004966,0.2421926989883825,0.2288708718028376,0.2561696920042358,0.06137305915149752,0.05541455439659462,0.0678238737661012,0.38011995980065694,0.3656346137862335,0.39455776759734185,0.289290305353697,0.27570940827179174,0.30251258366286704,0.1371899437012525,0.12649114789685623,0.14833384771792205,0.06446518839241523,0.05700709078315328,0.07229670540566775,0.04053756689471474,0.03408709647704391,0.04780287294652341
