"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
2011,"Women","United States of America","USA",0.02281463063062555,0.01972643849664508,0.026163672663329127,0.3780197467388119,0.3650630560962682,0.39065060854647027,0.04426590680244479,0.040398316714934476,0.048414196506662545,0.2835228097101167,0.27235640741667577,0.2950305513653697,0.27137690411800114,0.2605565943804278,0.2824140866334674,0.18359684165788492,0.17321968667161897,0.19393883744561438,0.10425197111032494,0.09644790834698068,0.11258828515264717,0.09017093397060201,0.08082896852530225,0.10000538727986646
2012,"Women","United States of America","USA",0.02277652931618233,0.01961178685847279,0.026128777284477663,0.3833229973095767,0.36995834714530995,0.39630947463034455,0.043402853217810324,0.03949983252972983,0.047597598969961206,0.27906785898075115,0.2677180524093677,0.29071950301765015,0.27142975917567946,0.26020416047558276,0.2828397921379615,0.1846114428879806,0.17414221219069567,0.1953364203069988,0.10573598470951867,0.09772204067058149,0.11428370053421051,0.09297556971207746,0.08336254513655313,0.10313588529041881
2013,"Women","United States of America","USA",0.02272557936242687,0.01947511111612378,0.026205342560780328,0.38835363333579276,0.3745193500263148,0.4018989519222236,0.04261485209537033,0.038598264134528514,0.0468232050451833,0.27468932872483026,0.2630642662557758,0.2865745068477021,0.2716166044815798,0.260140111060709,0.28330714086692554,0.18544629832119935,0.17476874862249686,0.19645436605909974,0.10718649547341774,0.09869301246996608,0.11608654418758903,0.09572083954117565,0.085804940749042,0.10616641410328692
2014,"Women","United States of America","USA",0.022664791790244835,0.019318919872586354,0.02622156964850724,0.3931454810238692,0.3788395047204242,0.40724634681826816,0.041871004967417635,0.037778632559422126,0.04612961215390176,0.27038280761958416,0.2583766855805098,0.2825598700621963,0.2719359125988841,0.25994801495352926,0.28402179323903476,0.18609223343682146,0.17498088173239598,0.19750166204836683,0.10863410436189841,0.09977884234404032,0.1179033854945532,0.09841914322514941,0.08805661489304825,0.10966004046316176
2015,"Women","United States of America","USA",0.022604734361472655,0.019181172426696712,0.026306488519897364,0.3977115561365169,0.38257280359675455,0.4123858458147657,0.04114508861370339,0.036888721131571815,0.045551736695993245,0.2661644997283736,0.2539847020058308,0.27876895650151784,0.2723741191599334,0.2596850784581022,0.28508422318149257,0.1865260632832843,0.17491469498230758,0.19853590586074726,0.1100804332360925,0.1008320687832315,0.11970306130861064,0.10110505961714004,0.09012849230568146,0.11308464100075657
2016,"Women","United States of America","USA",0.022544457144788733,0.01895526935123634,0.026419402438711704,0.40208317897425955,0.38612954680934364,0.41776647229477126,0.040429693874589744,0.036000732414970454,0.04504807138906734,0.2620739221302531,0.24940238912574902,0.27512215577489474,0.2728687458761089,0.2594838196913381,0.2862770447681181,0.1867547229749354,0.17455464067567308,0.1996104627509316,0.11153620436915748,0.10157522165061182,0.1217605807201529,0.10379225163016668,0.09192653780625219,0.116469022674569
2017,"Women","United States of America","USA",0.022496426829853963,0.018678420531396175,0.026666811763181072,0.40624008844816845,0.38935365039032915,0.423412238294224,0.03973087442383428,0.03510752480480925,0.04464238630640905,0.25813277849277355,0.2445335233275627,0.27202511978357224,0.2733998298053698,0.25901827285346585,0.28768008444411614,0.1867558390411913,0.1738058178247738,0.20033612980584956,0.11295874671775553,0.1021835265713856,0.12394111460871429,0.10652550268922155,0.0937483449136651,0.1203400761166709
2018,"Women","United States of America","USA",0.02246009910036137,0.01837478951703131,0.02702088552858177,0.41015338907888066,0.3914640415697994,0.42888597919577537,0.03907620267633856,0.03409494409970651,0.04433048383646901,0.25438517313003134,0.2397100980310009,0.26941658618816033,0.2739251340143881,0.2583646772966119,0.28945902126117945,0.18653360143377923,0.1726515422019194,0.20122923443082347,0.1143132555949766,0.10252264675967451,0.12619141615732227,0.10930653205012478,0.09537884279306073,0.12431094037742155
2019,"Women","United States of America","USA",0.022444490123349415,0.018020425121766968,0.02740665465368155,0.41385585313456885,0.39345080743103156,0.43434289491011036,0.0384599659899682,0.033096333886878736,0.04421058089898942,0.25080231493472194,0.23485020944578586,0.2672656767822189,0.27443737381739164,0.2573106496344773,0.2915827215847866,0.1861113489415807,0.1706500202233658,0.2024041709329941,0.11561040515147387,0.10282729296133546,0.1287531592746537,0.11213409904151427,0.09640934454935718,0.12905460330893845
2020,"Women","United States of America","USA",0.022449618831956654,0.017686512824420703,0.02796442342427576,0.41740517881311023,0.3946220918011858,0.4403524407669466,0.03787860579676437,0.03203543055759757,0.04421075576335984,0.24733685978199052,0.22969999566644145,0.26549831510758864,0.2749297347761782,0.2558636584537968,0.2939248860770772,0.18556381663902738,0.1682310018101919,0.2038205521999145,0.11683561938338921,0.10246962945685749,0.13163648078986198,0.11500574279069363,0.09743582947761388,0.13369270630038138
